interaction_id,question_id,Problem,category,student_id,student_process,concepts_of_the_problem,concepts_lacking_in_student,response
95,413,"a rectangular grass field is 85 m * 55 m , it has a path of 2.5 m wide all round it on the outside . find the area of the path and the cost of constructing it at rs . 2 per sq m ?",geometry,1,\begin{aligned} & (85+2.5 \times 2) \times(55+2.5 \times 2)-85 \times 55 \\ & =90 \times 60-85 \times 55 \\ & =725 \mathrm{~m}^2 \\ & 725 \times 2=1450 \end{aligned},Area Calculation,No,1
96,1694,"a cistern can be filled by a tap in 3 hours while it can be emptied by another tap in 5 hours . if both the taps are opened simultaneously , then after how much time will the cistern get filled ?",physics,1,1 \div\left(\frac{1}{3}-\frac{1}{5}\right)=\frac{15}{2},Workload-Time-Speed,No,1
97,2655,"village x has a population of 76000 , which is decreasing at the rate of 1200 per year . village y has a population of 42000 , which is increasing at the rate of 800 per year . in how many years will the population of the two villages be equal ?",general,1,\begin{aligned} & \text { Years : } x \\ & 76000-1200 x=42000+800 x \\ & 2000 x=32000 \\ & x=16 \end{aligned},Arithmetic Sequence/Series,No,0
98,1403,fresh grapes contain 90 % by weight while dried grapes contain 20 % water by weight . what is the weight of dry grapes available from 30 kg of fresh grapes ?,gain,1,30 \times(1-(0.9-0.2))=9,Mixed Solution Concentration,Mixed Solution Concentration,0
99,3088,the effective annual rate of interest corresponding to a nominal rate of 6 % per annum payable half - yearly is :,gain,1,0.06 \div 2=0.03=3 \%,Effective Annual Interest Rate,Effective Annual Interest Rate,0
100,1018,"if x + y = - 4 , and x = 6 / y , what is the value of x ^ 2 + y ^ 2 ?",general,1,\begin{aligned} & x+y=-4 \\ & x=\frac{6}{y} \\ & (x+y)^2=x^2+2 x y+y^2=16 \\ & x^2+y^2=16-2 \times 6=4 \end{aligned},Expression and Operations with Symbols,No,1
101,858,"a boy traveled from the village to the post - office at the rate of 12.5 kmph and walked back at the rate of 2 kmph . if the whole journey took 5 hours 48 minutes , find the distance of the post - office from the village .",physics,1,\begin{aligned} & \frac{x}{12.5}+\frac{x}{2}=5+\frac{48}{60}=5.8 \\ & 14.5 x=5.8 \times 25 \\ & x=10 \end{aligned},Distance-Time-Speed && Unit Conversion,No,1
102,100,"a certain company  s profit in 1996 was 15 percent greater than its profit in 1995 , and its profit in 1997 was 35 percent greater than its profit in 1996 . the company  s profit in 1997 was what percent greater than its profit in 1995 ?",gain,1,"1 \times(1+0.15) \times(1+0,35)-1=0,5525=55,25 \%",Profit,No,1
103,226,"if a person walks at 10 km / hr instead of 8 km / hr , he would have walked 14 km more . the actual distance traveled by him is ?",general,1,\begin{aligned} & 14 \div(10-8)=7 \\ & 7 \times 10=70 \mathrm{~km} \end{aligned},Distance-Time-Speed,No,0
104,1288,"if 8 men do a work in 80 days , in how many days will 20 men do it ?",physics,1,\frac{80 \times 8}{20}=32 \text { day },Workload-Time-Speed,No,1
105,212,the average height of 20 students in a class was calculated as 175 cm . it has later found that the height of one of the students in the class was incorrectly written as 151 cm whereas the actual height was 131 cm . what was the actual average height of the students in the class ?,general,1,\begin{aligned} & \frac{|5|-13 \mid}{20}=1 \\ & 175-1=174 \end{aligned},Arithmetic Mean,No,1
106,339,"there are 3 prizes to be distributed among 10 students . if no students gets more than one prize , then this can be done in ?",general,1,C_3^{10}=\frac{10 \times 9 \times 8}{3 \times 2 \times 1}=120,Permutations and Combinations,No,1
107,187,"a squirrel runs up a cylindrical post , in a perfect spiral path making one circuit for each rise of 3 feet . how many feet does the squirrel travels if the post is 18 feet tall and 3 feet in circumference ?",geometry,1,\begin{aligned} 18 \div 3 & =6 \\ 6 \times 3 & =18 \end{aligned},Perimeter Calculation,No,1
108,1331,how many real solutions does the equation x 5 + 2 x 3 + 8 x 2 + 16 = 0 have ?,general,1,\begin{aligned} & x^5+2 \times 3+8 \times 2+16=0 \\ & x^5=38 \\ & x=\sqrt[5]{38} \Rightarrow 1 \end{aligned},Function,No,1
109,470,"in a class of 40 students , 2 students did not borrow any books from the library , 12 students each borrowed 1 book , 11 students each borrowed 2 books , and the rest borrowed at least 3 books . if the average number of books per student was 2 , what is the maximum number of books any single student could have borrowed ?",general,1,\begin{aligned} & 80-12-11 \times 2=46 \\ & 40-2-12-11=15 \\ & 46 \div 15=3 \cdots 1 \\ & 3+1=4 \end{aligned},Arithmetic Mean,No,1
110,595,the sum of ages of 5 children born 2 years different each is 40 years . what is the age of the elder child ?,general,1,the youngest : $x$ $$ \begin{aligned} & x+(x+2)+(x+2 \times 2)+(x+2 \times 3)+(x+2 \times 4)=40 \\ & 5 x+20=40 \\ & x=4 \end{aligned} $$,Expression and Operations with Symbols,No,0
111,464,"a multiple choice test consists of 4 questions , and each question has 5 answer choices . in how many e ways can the test be completed if every question is unanswered ?",general,1,5 ! \times 4=5 \times 4^2 \times 3 \times 2=480,Permutations and Combinations,Permutations and Combinations,0
112,1477,x can finish a work in 20 days . y can finish the same work in 16 days . y worked for 12 days and left the job . how many days does x alone need to finish the remaining work ?,physics,1,\begin{aligned} & \frac{20}{10}=\frac{5}{4} \\ & \frac{5}{4} \times 12=15 \\ & 20-15=5 \end{aligned},Workload-Time-Speed,No,1
113,389,the average age of 6 men increases by 2 years when two women are included in place of two men of ages 10 and 12 years . find the average age of the women ?,general,1,,Range of Values,Range of Values,0
114,0,a shopkeeper sold an article offering a discount of 5 % and earned a profit of 31.1 % . what would have been the percentage of profit earned if no discount had been offered ?,gain,1,\begin{aligned} & (1+0.311)=0.95=1.38 \\ & 1.38-1=0.38=38 \% \end{aligned},Profit && Discount Problem,No,1
115,178,20 men do a work in 20 days . how many men are needed to finish the work in 10 days ?,physics,1,20 \times 20 \div 10=40,Workload-Time-Speed,No,1
116,2888,how long does a train 165 meters long running at the rate of 36 kmph take to cross a bridge 660 meters in length ?,physics,1,\begin{gathered} 36 \mathrm{~km} / / \mathrm{hr}=10 \mathrm{~m} / \mathrm{s} \\ (165+660) \div 10=82.5 \end{gathered},Distance-Time-Speed && Unit Conversion,No,1
117,422,"a boat can travel with a speed of 12 km / hr in still water . if the speed of the stream is 4 km / hr , find the time taken by the boat to go 68 km downstream .",physics,1,68 \div(12+4)=\frac{68}{16}=\frac{17}{4},Distance-Time-Speed && Relative Speed,No,1
118,421,the ratio of sum of squares of first n natural numbers to square of sum of first n natural numbers is 17 : 325 . the value of n is,other,1,,Sum of Squares && Square of the Sum,Sum of Squares && Square of the Sum,0
119,2591,"the area of a square field 3136 sq m , if the length of cost of drawing barbed wire 3 m around the field at the rate of rs . 3.00 per meter . two gates of 1 m width each are to be left for entrance . what is the total cost ?",physics,1,\begin{aligned} & \sqrt{3136}=56 \\ & (56+5) \times 4 \times 3=732 \end{aligned},Area Calculation && Perimeter Calculation,No,0
120,258,"when greenville state university decided to move its fine arts collection to a new library , it had to package the collection in 20 - inch by 20 - inch by 15 - inch boxes . if the university pays $ 0.60 for every box , and if the university needs 3.06 million cubic inches to package the collection , what is the minimum amount the university must spend on boxes ?",general,1,3060000 \div(20 \times 20 \times 15) \times 0.6=306,Volume Calculation,No,1
121,292,if the weight of 12 meters long rod is 13.4 kg . what is the weight of 6 meters long rod ?,physics,1,13.4 \div(12 \div 6)=6.7,Direct Proportion and Inverse Proportion,No,1
122,165,two boys starts from the same place walking at the rate of 5 kmph and 5.5 kmph respectively in the same direction . what time will they take to be 8.5 km apart ?,gain,1,"8,5 \div(5,5-5)=17",Distance-Time-Speed,No,1
123,326,"a group of people participate in some curriculum , 30 of them practice yoga , 20 study cooking , 15 study weaving , 5 of them study cooking only , 8 of them study both the cooking and yoga , 5 of them participate all curriculums . how many people study both cooking and weaving ?",other,1,20-5-8-5=2,Fundamental Counting Principles,No,1
124,268,"a garrison of 500 men has provisions for 20 days . at the end of 14 days , a reinforcement arrives , and it is now found that the provisions will last only for 3 days more . what is the reinforcement ?",physics,1,$r_{\text {einforcement }}: x$ $$ \begin{gathered} (500 \times 20-500 \times 14) \div(500+x)=3 \\ (500 \times 6) \div(500+x)=3 \\ 3(500+x)=500 \times 6 \\ x=500 \end{gathered} $$,Direct Proportion and Inverse Proportion,No,1
125,750,a student is ranked 6 th from right and 5 th from left . how many students are there in totality ?,general,1,1+(6-1)+(5-1)=10,Basic Math Operations,No,1
126,1122,a car takes 6 hours to cover a distance of 540 km . how much should the speed in kmph be maintained to cover the same direction in 3 / 2 th of the previous time ?,physics,1,\begin{aligned} & 540 \div 6=90 \\ & 90 \times \frac{3}{2}=135 \end{aligned},Distance-Time-Speed,Distance-Time-Speed,0
127,13,there are 1000 buildings in a street . a sign - maker is contracted to number the houses from 1 to 1000 . how many zeroes will he need ?,general,1,(10+1)+(9+9+1) \times 9+1=183,Basic Math Operations,Basic Math Operations,0
128,2822,if k is a non - negative integer and 30 ^ k is a divisor of 929260 then 3 ^ k - k ^ 3 =,general,1,$$ 929260 \div 30=30975.33 $$ $K$ is not an integet,Prime Factorization && Basic Math Operations,Basic Math Operations,0
129,223,"10 camels cost as much as 24 horses , 16 horses cost as much as 4 oxen and 6 oxen as much as 4 elephants . if the cost of 10 elephants is rs . 170000 , find the cost of a camel ?",general,1,\begin{aligned} & \frac{4}{16}=\frac{6}{24} \\ & \frac{24}{10} \times \frac{6}{24} \times \frac{4}{6}=\frac{2}{5} \\ & 170000 \div 10 \times \frac{2}{5}=6800 \end{aligned},Ratio Calculation,No,1
130,281,a no . when divided by the sum of 555 and 445 gives 2 times their difference as quotient & 60 as remainder . find the no . is ?,general,1,(555+445) \times 2+60=2060,Basic Math Operations,No,0
131,1187,calculate the average of first 18 even numbers is ?,general,1,\frac{(1+18) \times 18}{2} \times 2=19 \times 18=342,Basic Math Operations,No,0
132,412,"p , q and r have $ 6000 among themselves . r has two - thirds of the total amount with p and q . find the amount with r ?",general,1,\begin{aligned} & p+q=x \\ & x+\frac{2}{3} x=6000 \\ & x=3600 \\ & r=6000-3600=2400 \end{aligned},Expression and Operations with Symbols,No,1
133,1147,"a man rows his boat 120 km downstream and 60 km upstream , taking 2 hours each time . find the speed of the stream ?",physics,1,\left(\frac{120}{2}-\frac{60}{2}\right) \div 2=15,Distance-Time-Speed && Relative Speed,No,1
134,1411,"in a zoo there are 30 penguins , 22 zebras , and 8 tigers with some zookeepers . if the total number of heads are 132 less than the number of feet , the number of zookeepers is",general,1,\begin{aligned} & \operatorname{man}=x \\ & 30 \times 2+22 \times 4+8 \times 4+2 x-132=30+22+8+x \\ & 30+22 \times 3+8 \times 3-132=-x \\ & x=12 \end{aligned},Expression and Operations with Symbols,No,1
135,1426,"the manager at a health foods store mixes a unique superfruit juice cocktail that costs $ 1399.45 per litre to make . the cocktail includes mixed fruit juice and a 癟 ai berry juice , which cost $ 262.85 per litre and $ 3104.35 per litre , respectively . the manager has already opened 37 litres of the mixed fruit juice . how many litres of the a 癟 ai berry juice does he need to add ?",general,1,berry juice $=x L$ $$ \begin{aligned} & 262.85 \times 37+3104.35 \times x=1399.45 \times(37+x) \\ & (3104.35-1399.45) x=(1399.45-262.85) 37 \\ & x=24.666 \end{aligned} $$,Mixed Solution Concentration,No,1
136,2051,"a soft drink company had 5000 small and 12000 big bottles in storage . if 15 % of small 18 % of big bottles have been sold , then the total bottles remaining in storage is",general,1,"5000 \times(1-0,15)+12000(1-0,18)=14090",Basic Math Operations,No,1
137,329,the price of a cycle is reduced by 25 per cent . the new price is reduced by a further 50 per cent . the two reductions together are equal to a single reduction of,general,1,1 \times(1-0.25) \times(1-0.5)=0.75 \times 0.5=0.375=37.5 \%,Discount Problem,No,0
138,2039,"the ratio of the number of females to males at a party was 1 : 2 but when 3 females and 3 males left , the ratio became 1 : 3 . how many people were at the party originally ?",other,1,original females $=r$ original males $=2 r$ $$ \begin{aligned} & \frac{r-3}{2 r-3}=\frac{1}{3} \\ & 3(r-3)=2 r-3 \\ & r=6 \\ & 2 r+r=18 \end{aligned} $$,Expression and Operations with Symbols,No,1
139,215,"car z travels 48 miles per gallon of gasoline when driven at a constant rate of 45 miles per hour , but travels 20 percent fewer miles per gallon of gasoline when driven at a constant rate of 60 miles per hour . how many miles does car z travel on 10 gallons of gasoline when driven at a constant rate of 60 miles per hour ?",gain,1,"48 \times(1-0,2) \times 10=384",Distance-Time-Speed,No,1
140,2163,( 1.2 ) ( power 3 ) - ( 0.9 ) ( power 3 ) / ( 1.2 ) ( power 2 ) + 1.08 + ( 0.9 ) ( power 2 ) is :,general,1,\begin{aligned} \frac{(1.2)^3-(0.9)^3}{(1.2)^2+1.08+(0.9)^2} & =\frac{(1.2-0.9)\left((1.2)^2+(1.2 \times 0.9)+(0.9)^2\right)}{(1.2)^2+1.08+(0.9)^2} \\ & =1.2-0.9 \\ & =0.3 \end{aligned},Basic Math Operations,No,1
141,2797,"for an agricultural experiment , 300 seeds were planted in one plot and 200 were planted in a second plot . if exactly 25 percent of the seeds in the first plot germinated and exactly 35 percent of the seeds in the second plot germinated , what percent of the total number of seeds germinated ?",general,1,\frac{300 \times 0.25+200 \times 0.35}{300+200}=\frac{145}{500}=0.29=29 \%,Ratio Calculation,No,1
142,1234,in a certain parallelogram the degree measure of one angle exceeds that of the other by 10 what is the degree measure of the smaller angle ?,geometry,1,(180-10) \div 2=85,Plane Geometry,No,1
143,827,"a garrison of 2000 men has provisions for 40 days . at the end of 20 days , a reinforcement arrives , and it is now found that the provisions will last only for 10 days more . what is the reinforcement ?",physics,1,reinforcement : $x$ $$ \begin{aligned} & (2000 \times 40-2000 \times 20) \div(2000+x)=10 \\ & 20000+10 x=40000 \\ & x=2000 \end{aligned} $$,Direct Proportion and Inverse Proportion,No,1
